hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
0,13,00040069,各駅停車,北野,２,00:13,2025-09-01T00:13:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-01T00:13:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-01T00:15:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-01T00:25:00+09:00""}]"
0,13,000400da,各駅停車,北野,２,00:13,2025-08-28T00:13:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-28T00:13:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-28T00:15:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-28T00:25:00+09:00""}]"
5,7,000400c2,各駅停車,北野,２,05:07,2025-08-27T05:07:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T05:07:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T05:09:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T05:19:00+09:00""}]"
5,33,0004006e,特急,新宿,１,05:33,2025-08-27T05:33:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T05:33:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T05:35:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T05:46:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T06:23:00+09:00""}]"
5,57,0004006f,特急,新宿,１,05:57,2025-08-27T05:57:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T05:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T05:59:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T06:12:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T06:56:00+09:00""}]"
6,18,000400c3,各駅停車,高幡不動,１,06:18,2025-08-27T06:18:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T06:18:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T06:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T06:34:00+09:00""}]"
6,30,000400db,京王ライナー,新宿,２,06:30,2025-08-27T06:30:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T06:30:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T06:33:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T06:43:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T07:25:00+09:00""}]"
6,32,00040070,特急,新宿,１,06:32,2025-08-27T06:32:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T06:32:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T06:36:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T06:47:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T07:36:00+09:00""}]"
6,43,0004008e,各駅停車,新宿,２,06:43,2025-08-27T06:43:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T06:43:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T06:47:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T06:57:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T08:23:00+09:00""}]"
6,54,00040089,区間急行,新宿,１,06:54,2025-08-27T06:54:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T06:54:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T06:57:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T07:07:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T08:08:00+09:00""}]"
7,7,00040090,各駅停車,新宿,２,07:07,2025-08-27T07:07:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T07:07:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T07:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T07:26:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T08:47:00+09:00""}]"
7,20,00040071,特急,新宿,１,07:20,2025-08-27T07:20:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T07:20:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T07:23:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T07:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T08:27:00+09:00""}]"
7,28,000400c4,各駅停車,調布,２,07:28,2025-08-27T07:28:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T07:28:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T07:31:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T07:43:00+09:00""}]"
7,40,00040092,各駅停車,本八幡,１,07:40,2025-08-27T07:40:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T07:40:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T07:43:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T07:54:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T09:19:00+09:00""}]"
7,50,00040088,急行,新宿,２,07:50,2025-08-27T07:50:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-27T07:50:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-27T07:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-27T08:01:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-27T08:54:00+09:00""}]"
